"RIAGENDR","RIDAGEYR","RIDRETH3","DMQMILIZ","DMDBORN4","DMDCITZN","DMDEDUC2","SIALANG","SIAINTRP","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","WTINT2YR","INDFMPIR"
"1",29,"4",0,"1","1","5","1","2",4,0,0,0,"1",57,"1","5","1",23650.246155,5
"2",46,"3",0,"1","1","4","1","2",3,0,0,0,"1",46,"1","4","3",19120.526421,1.47
"2",64,"3",0,"1","1","4","1","2",1,0,0,1,"2",64,"1","4","2",26421.037692,1.22
"2",80,"2",0,"1","1","5","1","2",2,0,0,2,"1",80,"1","2","1",12038.542864,5
"2",61,"3",0,"1","1","3","1","2",2,0,0,1,"2",61,"1","3","4",24606.886411,0.64
"2",29,"1",0,"1","1","5","1","2",2,0,0,0,"1",27,"1","5","5",45666.599712,5
"1",64,"3",1,"1","1","3","1","2",2,0,0,2,"1",64,"1","3","3",38259.331054,1.27
"2",31,"2",0,"1","1","4","1","2",6,2,2,0,"2",31,"1","4","1",36433.531882,0.06
"1",54,"1",0,"1","1","4","1","2",3,0,1,0,"1",54,"1","4","1",26556.369566,0.64
"2",75,"3",0,"1","1","4","1","2",1,0,0,1,"2",75,"1","4","3",22543.836025,1.75
"2",35,"6",0,"2","2","5","1","2",4,1,1,0,"2",35,"2","5","1",21017.541729,4.61
"2",50,"3",0,"1","1","4","1","2",2,0,0,1,"1",60,"2","5","1",130319.531266,4.77
"2",21,"1",0,"1","1","4","1","2",4,0,0,0,"1",41,"2","3","1",30964.988757,4.71
"2",39,"1",0,"1","1","4","1","2",5,1,2,0,"1",57,"1","5","1",39822.611662,4.17
"1",62,"1",0,"2","2","4","1","2",1,0,0,1,"1",62,"2","4","1",7949.392699,2.08
"1",62,"3",0,"1","1","3","1","2",1,0,0,1,"1",62,"1","3","3",34002.622995,0.04
"1",68,"3",1,"1","1","3","1","2",1,0,0,1,"1",68,"1","3","5",67426.086907,1.08
"1",26,"3",0,"1","1","5","1","2",4,1,0,2,"1",65,"1","5","1",117256.631099,4.67
"1",46,"6",0,"2","1","5","1","2",3,0,0,0,"1",46,"2","5","1",19037.393786,5
"1",71,"4",0,"1","1","1","1","2",3,0,0,3,"1",71,"1","1","1",10590.439181,3.07
