"RIAGENDR","RIDAGEYR","RIDRETH3","DMQMILIZ","DMDBORN4","DMDCITZN","DMDEDUC2","SIALANG","SIAINTRP","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","WTINT2YR","INDFMPIR"
"1",80,"3",1,"1","1","5","1","2",3,0,0,2,"1",80,"1","5","1",25384.681948,2.05
"1",80,"3",1,"1","1","3","1","2",1,0,0,1,"1",80,"1","3","2",17152.004538,1.03
"2",32,"3",0,"1","1","4","1","2",3,1,0,1,"2",32,"1","4","4",20628.955903,0.51
"1",45,"3",0,"1","1","4","1","2",5,0,3,0,"2",50,"1","4","1",66076.325643,3.63
"1",56,"3",0,"1","1","4","1","2",2,0,0,1,"1",56,"1","4","1",114986.314708,5
"1",42,"3",1,"1","1","4","1","2",4,0,3,0,"1",42,"1","4","1",110735.363988,3.1
"1",68,"3",1,"1","1","4","1","2",2,0,0,1,"1",68,"1","4","1",113706.95816,3.22
"1",41,"3",0,"1","1","4","1","2",4,0,1,0,"1",41,"1","4","1",98994.797869,1.49
"2",62,"4",0,"1","1","4","1","2",1,0,0,3,"1",80,"1","1","2",9123.684839,0.23
"1",69,"1",1,"1","1","4","1","2",1,0,0,1,"1",69,"1","4","3",12296.327439,1.57
"1",72,"3",1,"1","1","3","1","2",4,0,0,2,"1",72,"1","3","1",11680.063327,0.12
"1",58,"3",1,"1","1","3","1","2",1,0,0,0,"1",58,"1","3","3",59706.921117,1.71
"1",80,"3",1,"1","1","5","1","2",2,0,0,2,"2",80,"1","2","1",28511.946732,5
"1",75,"3",1,"1","1","3","1","2",1,0,0,1,"1",75,"1","3","2",78088.059428,2.44
"2",25,"6",0,"2","1","5","1","2",2,0,0,0,"2",25,"2","5","5",17743.429247,5
"1",80,"3",1,"1","1","5","1","2",2,0,0,2,"1",80,"1","5","1",10694.23839,0.81
"1",75,"4",1,"1","1","2","1","2",3,0,1,2,"1",75,"1","2","1",11676.190808,1.02
