"SEQN","RIDAGEYR","DMDHRAGE","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA","INDHHIN2","INDFMIN2","INDFMPIR"
77362,75,75,40851.120848,44490.166317,1,116,7,7,2.26
77363,8,38,53672.348266,54373.8,1,116,15,15,5
77364,66,64,48219.670925,47821.269743,2,115,6,6,1.59
77365,23,42,21533.883143,22679.914776,1,107,15,15,3.17
77366,6,66,8190.16355,8673.217714,1,116,6,6,0.91
77367,48,48,22940.34894,23044.03871,2,105,4,4,0.86
77368,43,43,25029.876308,26593.060342,2,110,7,7,1.5
77369,21,21,40126.38534,41346.710265,1,109,7,7,2.58
77370,14,46,15041.333297,14937.001921,2,115,1,1,0.07
77371,70,73,82918.094784,82500.657343,2,115,15,15,5
77372,7,48,22834.364331,23269.388252,1,105,7,7,1.49
77373,74,76,57206.653095,56918.655656,2,113,8,8,3.12
77374,46,46,32466.325208,32060.179955,1,115,7,7,1.95
77375,1,39,11016.328654,0,1,110,4,4,0.57
77376,60,60,12968.406808,13646.182445,1,109,7,7,2.26
77378,2,57,14127.617198,14812.949568,1,109,15,15,4.17
77379,12,57,20398.138789,20721.988853,2,111,15,15,5
77380,46,47,98711.148578,104467.310324,1,110,15,15,5
77381,28,65,37433.315181,37898.394865,2,112,6,6,1.22
77382,1,36,18114.606463,18269.990056,1,115,6,6,1.06
77383,80,80,9151.069277,9318.567742,1,108,9,9,3.07
77384,14,38,14347.5577,14205.091781,1,107,9,9,2.68
77385,52,48,29785.144695,29491.695837,2,108,12,1,0
77386,31,29,21714.19494,22618.104928,2,105,10,10,2.94
77387,44,44,105102.562752,105766.747252,2,112,7,7,2.54
77388,46,45,26858.1978,30259.940233,1,114,6,6,1.93
77389,4,25,18675.979363,20137.044108,1,115,3,3,0.9
77390,3,29,9300.326837,9638.176859,1,104,4,4,0.64
77391,36,36,20050.900742,21493.383733,1,115,7,3,0.9
77392,54,60,16532.56584,16683.61472,1,104,15,15,5
77393,63,37,6968.27357,7082.223128,2,104,15,15,5
77394,60,60,24760.152232,26134.200727,2,108,5,5,1.53
77395,18,43,14204.819134,15000.803671,1,111,9,9,3.87
77396,31,36,63895.699122,64899.710463,2,107,6,6,1
77397,3,36,15920.574299,17210.589962,1,109,15,15,4.53
77398,62,62,11754.738636,12086.419897,2,113,6,6,1.36
77399,80,80,44315.194178,45701.077428,2,107,6,6,1.78
77400,80,77,47338.814929,49243.160996,2,115,6,6,2.03
77401,0,28,6581.033584,7848.122547,1,106,2,2,0.4
77402,5,34,15660.81019,17552.295743,1,104,6,6,1.06
77403,10,29,7911.560586,7785.842281,2,114,3,3,0.42
77404,8,36,13203.223304,13044.557008,2,109,8,8,1.61
77405,53,53,93097.701093,94182.700072,2,104,10,7,3.68
77406,8,30,7911.560586,0,2,114,6,6,1.07
77407,44,64,21792.368016,22088.459105,2,115,4,4,1.02
77408,79,79,13972.452054,14972.5961,1,117,3,3,1.22
77411,44,23,20441.396758,21083.948536,1,109,5,5,0.5
77412,9,43,72828.497066,73780.303299,2,109,14,14,2.94
77413,2,37,46708.848243,47796.116372,2,109,15,15,5
77414,32,32,49542.964411,50822.451611,1,115,6,6,1.27
77415,72,70,58750.619004,60998.721488,2,113,4,4,1.14
77416,14,58,66172.976978,0,1,116,15,15,4.9
77417,80,80,10712.364879,11659.60661,2,114,3,3,0.71
77418,8,41,7983.151043,8242.146459,2,105,5,5,0.72
77419,24,24,122177.425821,123536.360083,1,113,15,4,1.62
77420,18,50,14599.834765,14169.668181,2,111,5,5,0.56
77421,5,36,13154.135077,0,2,108,8,8,1.89
77422,80,80,14971.786924,15234.845758,2,118,14,14,5
77423,74,74,10847.125553,10814.053803,1,118,5,5,0.84
77424,40,40,18144.213229,19629.4876,2,104,6,6,2.16
77425,66,66,7232.051495,7852.502573,2,118,12,5,1.75
77426,14,42,22844.522355,24043.357201,1,111,7,7,2.45
77427,0,37,11110.013294,10676.71981,2,118,15,15,5
77428,33,52,27388.92069,27366.546775,2,116,6,6,0.69
77429,76,76,18278.930336,18882.974905,1,118,9,9,3.56
77430,1,20,28814.081083,31841.386838,2,112,1,1,0.13
